period,stateid,price
2006,AZ,8.24
2006,CA,12.82
2006,CO,7.61
2006,CT,14.83
2006,DC,11.08
2006,DE,10.13
2006,ENC,7.45
2006,ESC,6.78
2006,FL,10.45
2006,GA,7.63
2006,HI,20.72
2006,IA,7.01
2006,ID,4.92
2006,IL,7.07
2006,IN,6.46
2006,KS,6.89
2006,KY,5.43
2006,LA,8.3
2006,MA,15.45
2006,MAT,11.92
2006,MD,9.95
2006,ME,11.8
2006,MI,8.14
2006,MN,6.98
2006,MO,6.3
2006,MS,8.33
2006,MT,6.91
2006,MTN,7.46
2006,NC,7.53
2006,ND,6.21
2006,NE,6.07
2006,NEW,14.51
2006,NH,13.84
2006,NJ,11.88
2006,NM,7.37
2006,NV,9.63
2006,NY,15.27
2006,OH,7.71
2006,OK,7.3
2006,OR,6.53
2006,PA,8.68
2006,PACC,10.62
2006,PACN,17.82
2006,RI,13.98
2006,SAT,8.42
2006,SC,6.98
2006,SD,6.7
2006,TN,6.97
2006,TX,10.34
2006,US,8.9
2006,UT,5.99
2006,VA,6.86
2006,VT,11.37
2006,WA,6.14
2006,WI,8.13
2006,WNC,6.65
2006,WSC,9.42
2006,WV,5.04
2006,WY,5.27
2007,AK,13.28
2007,AL,7.57
2007,AR,6.96
2007,AZ,8.54
2007,CA,12.8
2007,CO,7.76
2007,CT,16.45
2007,DC,11.79
2007,DE,11.35
2007,ENC,7.97
2007,ESC,7.01
2007,FL,10.33
2007,GA,7.86
2007,HI,21.29
2007,IA,6.83
2007,ID,5.07
2007,IL,8.46
2007,IN,6.5
2007,KS,6.84
2007,KY,5.84
2007,LA,8.39
2007,MA,15.16
2007,MAT,12.31
2007,MD,11.5
2007,ME,14.59
2007,MI,8.53
2007,MN,7.44
2007,MO,6.56
2007,MS,8.03
2007,MT,7.13
2007,MTN,7.69
2007,NC,7.83
2007,ND,6.42
2007,NE,6.28
2007,NEW,15.08
2007,NH,13.98
2007,NJ,13.01
2007,NM,7.44
2007,NV,9.99
2007,NY,15.22
2007,OH,7.91
2007,OK,7.29
2007,OR,7.02
2007,PA,9.08
2007,PACC,10.71
2007,PACN,18.29
2007,RI,13.12
2007,SAT,8.68
2007,SC,7.18
2007,SD,6.89
2007,TN,7.07
2007,TX,10.11
2007,US,9.13
2007,UT,6.41
2007,VA,7.12
2007,VT,12.04
2007,WA,6.37
2007,WI,8.48
2007,WNC,6.83
2007,WSC,9.27
2007,WV,5.34
2007,WY,5.29
2008,AK,14.74
2008,AL,8.59
2008,AR,7.6
2008,AZ,9.11
2008,CA,12.49
2008,CO,8.59
2008,CT,17.8
2008,DC,13.18
2008,DE,12.38
2008,ENC,8.53
2008,ESC,7.87
2008,FL,10.74
2008,GA,8.84
2008,HI,29.2
2008,IA,6.89
2008,ID,5.69
2008,IL,9.23
2008,IN,7.09
2008,KS,7.45
2008,KY,6.26
2008,LA,9.44
2008,MA,16.23
2008,MAT,13.17
2008,MD,13.01
2008,ME,13.8
2008,MI,8.93
2008,MN,7.79
2008,MO,6.84
2008,MS,8.99
2008,MT,7.72
2008,MTN,8.18
2008,NC,7.96
2008,ND,6.69
2008,NE,6.58
2008,NEW,16.06
2008,NH,14.63
2008,NJ,14.43
2008,NM,8.35
2008,NV,9.89
2008,NY,16.47
2008,OH,8.39
2008,OK,7.81
2008,OR,7.24
2008,PA,9.33
2008,PACC,10.57
2008,PACN,23.73
2008,RI,16.04
2008,SAT,9.33
2008,SC,7.85
2008,SD,7.14
2008,TN,8.18
2008,TX,10.99
2008,US,9.74
2008,UT,6.49
2008,VA,8.0
2008,VT,12.33
2008,WA,6.55
2008,WI,9.0
2008,WNC,7.13
2008,WSC,10.13
2008,WV,5.61
2008,WY,5.67
2009,AK,15.09
2009,AL,8.83
2009,AR,7.57
2009,AZ,9.56
2009,CA,13.24
2009,CO,8.31
2009,CT,18.07
2009,DC,13.23
2009,DE,12.2
2009,ENC,8.91
2009,ESC,8.13
2009,FL,11.49
2009,GA,8.81
2009,HI,21.21
2009,IA,7.37
2009,ID,6.51
2009,IL,9.15
2009,IN,7.62
2009,KS,7.98
2009,KY,6.52
2009,LA,7.06
2009,MA,15.45
2009,MAT,12.92
2009,MD,13.09
2009,ME,13.12
2009,MI,9.4
2009,MN,8.14
2009,MO,7.35
2009,MS,8.85
2009,MT,7.58
2009,MTN,8.41
2009,NC,8.48
2009,ND,6.63
2009,NE,7.21
2009,NEW,15.65
2009,NH,15.09
2009,NJ,14.53
2009,NM,8.09
2009,NV,10.36
2009,NY,15.44
2009,OH,9.02
2009,OK,6.94
2009,OR,7.47
2009,PA,9.6
2009,PACC,11.04
2009,PACN,18.87
2009,RI,14.22
2009,SAT,9.87
2009,SC,8.42
2009,SD,7.39
2009,TN,8.69
2009,TX,9.86
2009,US,9.82
2009,UT,6.77
2009,VA,8.93
2009,VT,12.75
2009,WA,6.59
2009,WI,9.38
2009,WNC,7.57
2009,WSC,8.94
2009,WV,6.65
2009,WY,6.08
2010,AK,14.76
2010,AL,8.89
2010,AR,7.28
2010,AZ,9.69
2010,CA,13.01
2010,CO,9.15
2010,CT,17.38
