period,stateid,price
2023,CT,24.24
2023,DC,16.5
2023,DE,12.85
2023,ENC,11.98
2023,ESC,10.78
2023,FL,13.53
2023,GA,11.06
2023,HI,38.6
2023,IA,9.42
2023,ID,9.08
2023,IL,11.75
2023,IN,11.49
2023,KS,10.8
2023,KY,9.96
2023,LA,8.91
2023,MA,23.21
2023,MAT,15.4
2023,MD,14.34
2023,ME,20.84
2023,MI,13.68
2023,MN,12.21
2023,MO,10.87
2023,MS,10.95
2023,MT,10.97
2023,MTN,11.07
2023,NC,10.61
2023,ND,8.03
2023,NE,9.14
2023,NEW,22.81
2023,NH,22.96
2023,NJ,15.27
2023,NM,9.47
2023,NV,13.09
2023,NY,18.28
2023,OH,11.04
2023,OK,9.3
2023,OR,10.32
2023,PA,12.57
2023,PACC,19.15
2023,PACN,31.67
2023,RI,21.62
2023,SAT,11.88
2023,SC,10.5
2023,SD,10.49
2023,TN,10.69
2023,TX,10.04
2023,US,12.68
2023,UT,9.03
2023,VA,10.68
2023,VT,17.53
2023,WA,9.58
2023,WI,12.72
2023,WNC,10.44
2023,WSC,9.79
2023,WV,10.26
2023,WY,8.39
