year,state,price,sales,avg_temp,disaster_count
2003,CT,10.16,31830.218,48.15833333333333,0.0
2003,DE,6.96,12599.59,54.583333333333336,1.0
2003,FL,7.72,217378.622,70.86666666666666,1.0
2003,GA,6.32,123676.657,63.316666666666656,0.0
2003,HI,14.47,10390.836,29.108333333333334,1.0
2003,IA,6.11,41207.284,47.90833333333333,0.0
2003,ID,5.22,21218.685,45.36666666666667,0.0
2003,IL,6.86,136247.891,51.70833333333332,1.0
2003,IN,5.37,100467.779,51.06666666666667,1.0
2003,KS,6.35,36735.39,54.96666666666667,1.0
2003,KY,4.42,85219.631,55.241666666666674,1.0
2003,LA,6.93,77769.322,66.375,1.0
2003,MA,10.56,55514.357,47.10833333333333,0.0
2003,MD,6.45,71258.583,53.91666666666666,2.0
2003,ME,9.79,11971.837,40.45,0.0
2003,MI,6.85,108877.193,43.96666666666667,0.0
2003,MN,6.01,63087.339,41.516666666666666,0.0
2003,MO,6.02,74239.888,54.5,1.0
2003,MS,6.46,45543.881,63.26666666666666,2.0
2003,MT,6.14,12824.66,43.333333333333336,1.0
2003,NC,6.86,121335.121,58.725,1.0
2003,ND,5.47,10461.108,40.766666666666666,1.0
2003,NE,5.64,25856.566,49.78333333333334,1.0
2003,NH,10.83,10972.542,42.49999999999999,1.0
2003,NJ,9.48,76382.512,51.84166666666666,0.0
2003,NM,7.0,19330.491,55.48333333333333,1.0
2003,NV,8.29,30131.66,52.24166666666667,1.0
2003,NY,12.44,144044.703,44.525,1.0
2003,OH,6.73,152189.238,50.23333333333333,2.0
2003,OK,6.35,50428.168,59.86666666666667,2.0
2003,OR,6.18,45194.73,49.04166666666666,1.0
2003,PA,8.02,140369.128,47.975,1.0
2003,RI,10.47,7796.626,48.98333333333333,0.0
2003,SC,6.08,77054.098,62.35833333333334,0.0
2003,SD,6.35,9079.99,46.05833333333334,0.0
2003,TN,5.84,97455.808,57.508333333333326,1.0
2003,TX,7.5,322685.955,65.49999999999999,2.0
2003,UT,5.41,23860.35,50.6,1.0
2003,VA,6.27,101509.731,54.95000000000001,2.0
2003,VT,10.98,5352.429,41.48333333333333,1.0
2003,WA,5.86,78133.501,48.175,1.0
2003,WI,6.64,67241.494,43.2,0.0
2003,WV,5.13,28296.993,51.58333333333332,2.0
2003,WY,4.76,13253.836,43.05,0.0
2004,AK,10.99,5788.484,67.06666666666666,1.0
2004,AL,6.08,86870.519,63.33333333333332,1.0
2004,AR,5.67,43672.36,61.025000000000006,1.0
2004,AZ,7.45,66933.251,60.40833333333333,1.0
2004,CA,11.35,252025.973,58.85833333333335,1.0
2004,CO,6.95,46723.841,45.84166666666667,1.0
2004,CT,10.26,32214.61,48.75833333333333,0.0
2004,DE,7.53,11761.153,55.825,0.0
2004,FL,8.16,218584.494,70.81666666666666,1.0
2004,GA,6.58,129465.784,63.975,1.0
2004,HI,15.7,10731.52,29.325,1.0
2004,IA,6.4,40902.773,48.50833333333333,1.0
2004,ID,4.97,21808.674,44.15,0.0
2004,IL,6.8,139253.956,52.583333333333336,1.0
2004,IN,5.58,103094.263,52.21666666666666,1.0
2004,KS,6.37,37126.54,55.06666666666667,1.0
2004,KY,4.63,86521.156,56.40833333333333,1.0
2004,LA,7.13,79737.112,67.14166666666667,2.0
2004,MA,10.77,56142.019,47.61666666666667,1.0
2004,MD,7.15,66891.7,55.16666666666668,0.0
2004,ME,9.69,12367.668,40.44166666666666,1.0
2004,MI,6.94,106606.04,44.583333333333336,1.0
2004,MN,6.24,63340.315,41.3,0.0
2004,MO,6.07,74054.296,54.96666666666667,1.0
2004,MS,7.0,46032.538,64.00833333333333,1.0
2004,MT,6.4,12956.782,42.81666666666667,0.0
2004,NC,6.97,125656.807,59.34166666666667,1.0
2004,ND,5.69,10516.4,40.54166666666666,1.0
2004,NE,5.7,25875.93,49.80833333333333,1.0
2004,NH,11.37,10973.309,42.98333333333333,0.0
2004,NJ,10.29,77593.167,53.01666666666667,1.0
2004,NM,7.1,19845.735,53.54166666666666,2.0
2004,NV,8.56,31312.306,50.833333333333336,1.0
2004,NY,12.55,145081.709,45.16666666666666,1.0
2004,OH,6.89,154221.114,51.34166666666668,1.0
2004,OK,6.5,50942.042,60.15,0.0
2004,OR,6.21,45636.448,48.45,2.0
2004,PA,8.0,143501.493,49.06666666666667,2.0
2004,RI,10.96,7887.575,49.32500000000001,0.0
2004,SC,6.22,79908.34,63.18333333333334,2.0
2004,SD,6.44,9213.844,46.29166666666666,2.0
2004,TN,6.14,99660.665,58.49166666666665,0.0
2004,TX,7.95,320614.84,65.24166666666667,0.0
2004,UT,5.69,24511.704,48.70000000000001,1.0
2004,VA,6.43,105424.173,55.88333333333333,1.0
2004,VT,11.02,5663.772,41.84166666666666,1.0
2004,WA,5.8,79981.608,48.39166666666667,2.0
2004,WI,6.88,67975.709,43.51666666666666,1.0
2004,WV,5.13,28918.612,52.71666666666667,1.0
2004,WY,4.98,13539.513,42.40833333333334,1.0
2005,AK,11.72,5912.571,66.73333333333332,1.0
2005,AL,6.46,89201.62,63.39166666666665,1.0
2005,AR,6.3,46164.923,61.958333333333336,1.0
2005,AZ,7.79,69390.686,61.13333333333333,3.0
2005,CA,11.63,254249.507,58.6,3.0
2005,CO,7.64,48353.236,46.76666666666667,1.0
2005,CT,12.06,33095.029,49.50833333333333,1.0
2005,DE,7.76,12136.788,55.725,2.0
