period,stateid,sales
2005,NM,20638.951
2005,NV,32500.63
2005,NY,150147.571
2005,OH,160176.303
2005,OK,53707.102
2005,OR,46419.245
2005,PA,148272.94
2005,PACC,384093.952
2005,PACN,16451.481
2005,RI,8049.112
2005,SAT,798151.929
2005,SC,81254.088
2005,SD,9811.017
2005,TN,103905.421
2005,TX,334258.262
2005,US,3660968.513
2005,UT,25000.498
2005,VA,108849.552
2005,VT,5883.053
2005,WA,83425.2
2005,WI,70335.683
2005,WNC,276367.589
2005,WSC,511519.457
2005,WV,30152.069
2005,WY,14137.727
2006,AK,6182.291
2006,AL,90677.695
2006,AR,46635.624
2006,AZ,73252.776
2006,CA,262958.528
2006,CO,49733.698
2006,CT,31677.453
2006,DC,11396.424
2006,DE,11554.672
2006,ENC,579379.585
2006,ESC,330289.311
2006,FL,228219.544
2006,GA,134834.168
2006,HI,10567.912
2006,IA,43336.835
2006,ID,22761.749
2006,IL,142447.811
2006,IN,105664.484
2006,KS,39751.302
2006,KY,88743.435
2006,LA,77467.748
2006,MA,55850.09
2006,MAT,368069.324
2006,MD,63173.143
2006,ME,12284.768
2006,MI,108017.697
2006,MN,66769.931
2006,MO,82015.23
2006,MS,46936.437
2006,MT,13814.98
2006,MTN,256896.748
2006,NC,126698.979
2006,ND,11245.238
2006,NE,27276.292
2006,NEW,124500.809
2006,NH,11094.343
2006,NJ,79680.947
2006,NM,21434.957
2006,NV,34586.26
2006,NY,142238.019
2006,OH,153428.844
2006,OK,54905.314
2006,OR,48069.265
2006,PA,146150.358
2006,PACC,396061.128
2006,PACN,16750.203
2006,RI,7799.126
2006,SAT,795787.618
2006,SC,80877.321
2006,SD,10056.387
2006,TN,103931.744
2006,TX,342724.213
2006,US,3669918.84
2006,UT,26365.716
2006,VA,106721.241
2006,VT,5795.029
2006,WA,85033.335
2006,WI,69820.749
2006,WNC,280451.215
2006,WSC,521732.899
2006,WV,32312.126
2006,WY,14946.612
2007,AK,6326.61
2007,AL,91828.464
2007,AR,47054.891
2007,AZ,77193.206
2007,CA,264234.911
2007,CO,51299.156
2007,CT,34129.107
2007,DC,12110.185
2007,DE,11868.81
2007,ENC,597844.177
2007,ESC,339102.679
2007,FL,231084.6
2007,GA,137453.878
2007,HI,10585.299
2007,IA,45269.523
2007,ID,23755.186
2007,IL,146055.151
2007,IN,109420.15
2007,KS,40165.977
2007,KY,92404.1
2007,LA,79566.937
2007,MA,57138.822
2007,MAT,381684.807
2007,MD,65390.66
2007,ME,11860.202
2007,MI,109296.749
2007,MN,68231.182
2007,MO,85532.85
2007,MS,48153.181
2007,MT,15531.985
2007,MTN,269011.328
2007,NC,131880.754
2007,ND,11905.695
2007,NE,28248.4
2007,NEW,128241.015
2007,NH,11235.856
2007,NJ,81934.334
2007,NM,22267.394
2007,NV,35643.402
2007,NY,148177.523
2007,OH,161770.827
2007,OK,55193.2
2007,OR,48696.965
2007,PA,151572.95
2007,PACC,398673.823
2007,PACN,16911.909
2007,RI,8013.022
2007,SAT,817490.436
2007,SC,81948.158
2007,SD,10603.301
2007,TN,106716.934
2007,TX,343828.582
2007,US,3764560.712
2007,UT,27785.447
2007,VA,111569.552
2007,VT,5864.006
2007,WA,85741.947
2007,WI,71301.3
2007,WNC,289956.928
2007,WSC,525643.61
2007,WV,34183.839
2007,WY,15535.552
2008,AK,6325.94399
2008,AL,89707.27901
2008,AR,46134.68101
2008,AZ,76267.91602
2008,CA,268155.21898
2008,CO,52142.47301
2008,CT,30956.544
2008,DC,11616.234
2008,DE,11748.783
2008,ENC,586892.52302
2008,ESC,335026.70699
2008,FL,226172.795
2008,GA,135173.514
2008,HI,10390.279
2008,IA,45488.06998
2008,ID,23901.49001
2008,IL,144619.914
2008,IN,106980.704
2008,KS,39965.06107
2008,KY,93428.41398
2008,LA,78725.77399
2008,MA,55884.10499
2008,MAT,374973.06801
2008,MD,63325.77699
2008,ME,11673.673
2008,MI,105781.27101
2008,MN,68794.13798
2008,MO,84381.67599
2008,MS,47721.23501
2008,MT,15326.39999
2008,MTN,269750.64303
2008,NC,130069.25701
2008,ND,12416.07401
2008,NE,28821.02103
2008,NEW,123051.40899
2008,NH,10977.289
2008,NJ,80519.543
2008,NM,22038.108
2008,NV,35192.496
2008,NY,144052.936
2008,OH,159388.80701
2008,OK,56278.86606
2008,OR,49187.47698
2008,PA,150400.589
2008,PACC,404675.57997
2008,PACN,16716.22299
2008,RI,7818.594
2008,SAT,803084.372
2008,SC,80650.572
2008,SD,10974.086
2008,TN,104169.77899
2008,TX,347814.64702
2008,US,3733964.61911
2008,UT,28191.51101
2008,VA,110106.33701
2008,VT,5741.204
2008,WA,87332.884
