state,year,avg_temp
AL,2001,63.03333333333333
AL,2002,63.575
AL,2003,62.73333333333334
AL,2004,63.33333333333332
AL,2005,63.39166666666665
AL,2006,64.19999999999999
AL,2007,64.4
AL,2008,62.91666666666668
AL,2009,62.90833333333333
AL,2010,62.708333333333336
AL,2011,63.83333333333332
AL,2012,64.91666666666667
AL,2013,62.6
AL,2014,62.03333333333334
AL,2015,64.61666666666666
AL,2016,65.34166666666667
AL,2017,65.03333333333332
AL,2018,64.45
AL,2019,65.375
AL,2020,64.86666666666666
AL,2021,64.2
AL,2022,64.01666666666667
AL,2023,65.34166666666668
AZ,2001,61.20000000000001
AZ,2002,61.175
AZ,2003,61.9
AZ,2004,60.40833333333333
AZ,2005,61.13333333333333
AZ,2006,61.12499999999999
AZ,2007,61.58333333333332
AZ,2008,60.61666666666665
AZ,2009,61.083333333333336
AZ,2010,60.39166666666667
AZ,2011,60.33333333333332
AZ,2012,62.1
AZ,2013,60.45
AZ,2014,62.25
AZ,2015,61.75
AZ,2016,62.17500000000001
AZ,2017,63.03333333333333
AZ,2018,62.26666666666666
AZ,2019,60.25833333333333
AZ,2020,62.616666666666674
AZ,2021,62.1
AZ,2022,61.23333333333333
AZ,2023,60.73333333333333
AR,2001,61.225
AR,2002,60.58333333333334
AR,2003,60.26666666666666
AR,2004,61.025000000000006
AR,2005,61.958333333333336
AR,2006,61.991666666666674
AR,2007,61.80833333333334
AR,2008,59.85833333333333
AR,2009,59.925
AR,2010,61.17499999999999
AR,2011,61.81666666666666
AR,2012,63.60833333333334
AR,2013,59.64166666666666
AR,2014,58.66666666666666
AR,2015,61.4
AR,2016,62.79166666666666
AR,2017,62.54166666666666
AR,2018,61.16666666666666
AR,2019,61.21666666666667
AR,2020,61.15
AR,2021,61.35
AR,2022,61.149999999999984
AR,2023,62.925
CA,2001,59.125
CA,2002,58.85
CA,2003,59.42499999999999
CA,2004,58.85833333333335
CA,2005,58.6
CA,2006,58.64166666666666
CA,2007,58.925
CA,2008,58.91666666666666
CA,2009,58.833333333333336
CA,2010,57.725
CA,2011,57.43333333333334
CA,2012,59.50833333333333
CA,2013,59.31666666666666
CA,2014,61.45
CA,2015,60.75833333333333
CA,2016,60.13333333333333
CA,2017,60.34166666666666
CA,2018,60.125
CA,2019,58.40833333333333
CA,2020,60.51666666666667
CA,2021,60.35
CA,2022,60.04999999999999
CA,2023,58.25000000000001
CO,2001,46.85
CO,2002,46.083333333333336
CO,2003,47.025000000000006
CO,2004,45.84166666666667
CO,2005,46.76666666666667
CO,2006,46.508333333333326
CO,2007,46.175
CO,2008,44.94166666666666
CO,2009,45.18333333333333
CO,2010,46.15
CO,2011,45.43333333333334
CO,2012,48.31666666666666
CO,2013,45.09166666666667
CO,2014,46.05833333333333
CO,2015,47.44166666666666
CO,2016,47.28333333333334
CO,2017,47.925
CO,2018,47.16666666666666
CO,2019,45.26666666666666
CO,2020,47.25833333333335
CO,2021,47.475
CO,2022,46.19166666666667
CO,2023,45.59166666666666
CT,2001,50.24166666666667
CT,2002,50.46666666666666
CT,2003,48.15833333333333
CT,2004,48.75833333333333
CT,2005,49.50833333333333
CT,2006,51.13333333333333
CT,2007,49.53333333333333
CT,2008,49.70000000000001
CT,2009,48.84166666666667
CT,2010,51.35
CT,2011,50.85833333333333
CT,2012,52.46666666666666
CT,2013,49.78333333333333
CT,2014,48.675
CT,2015,49.84166666666667
CT,2016,51.775000000000006
CT,2017,50.925
CT,2018,50.758333333333326
CT,2019,49.75
CT,2020,51.78333333333334
CT,2021,51.383333333333326
CT,2022,50.991666666666674
CT,2023,52.20833333333334
DE,2001,56.09166666666666
DE,2002,57.15833333333333
DE,2003,54.583333333333336
DE,2004,55.825
DE,2005,55.725
DE,2006,57.325
DE,2007,56.29166666666668
DE,2008,56.30833333333334
DE,2009,55.42500000000001
DE,2010,56.675
DE,2011,57.425
DE,2012,58.475
DE,2013,55.82500000000001
DE,2014,54.71666666666667
DE,2015,56.41666666666666
DE,2016,57.366666666666674
DE,2017,57.62499999999999
DE,2018,57.14166666666667
DE,2019,57.45833333333334
DE,2020,57.98333333333333
DE,2021,57.400000000000006
DE,2022,56.53333333333333
DE,2023,57.75
FL,2001,70.93333333333335
FL,2002,71.29166666666667
FL,2003,70.86666666666666
FL,2004,70.81666666666666
FL,2005,70.83333333333333
FL,2006,71.35833333333333
FL,2007,71.75
FL,2008,70.825
FL,2009,71.15833333333332
FL,2010,69.19166666666666
FL,2011,71.68333333333334
FL,2012,71.89166666666667
FL,2013,71.68333333333334
FL,2014,70.64166666666668
FL,2015,73.35833333333333
FL,2016,72.46666666666667
FL,2017,72.84166666666665
FL,2018,72.27499999999999
FL,2019,73.18333333333332
FL,2020,73.22500000000001
FL,2021,72.19166666666668
FL,2022,72.52499999999999
FL,2023,73.26666666666667
GA,2001,63.94166666666667
GA,2002,64.35833333333333
GA,2003,63.316666666666656
GA,2004,63.975
GA,2005,63.79166666666666
GA,2006,64.55
GA,2007,64.8
GA,2008,63.51666666666667
GA,2009,63.41666666666668
GA,2010,62.95833333333332
GA,2011,64.64166666666667
GA,2012,65.5
GA,2013,63.39166666666667
GA,2014,62.96666666666667
GA,2015,65.30833333333332
GA,2016,65.79166666666667
GA,2017,65.825
GA,2018,65.08333333333333
GA,2019,66.21666666666667
GA,2020,65.60833333333332
GA,2021,64.60000000000001
GA,2022,64.78333333333335
GA,2023,65.60000000000001
ID,2001,44.24166666666667
ID,2002,42.958333333333336
ID,2003,45.36666666666667
ID,2004,44.15
ID,2005,43.583333333333336
ID,2006,44.18333333333334
ID,2007,44.775
ID,2008,42.525000000000006
ID,2009,42.81666666666667
ID,2010,43.325
ID,2011,42.38333333333333
ID,2012,45.1
ID,2013,43.708333333333336
ID,2014,45.1
ID,2015,46.375
ID,2016,45.09166666666667
ID,2017,44.258333333333326
ID,2018,44.525
ID,2019,42.98333333333334
ID,2020,44.333333333333336
ID,2021,45.41666666666666
ID,2022,43.53333333333333
ID,2023,43.76666666666667
IL,2001,53.35833333333332
IL,2002,53.241666666666674
IL,2003,51.70833333333332
IL,2004,52.583333333333336
IL,2005,53.70000000000001
IL,2006,53.99999999999999
IL,2007,53.67500000000001
IL,2008,50.91666666666666
IL,2009,51.425
