year,state,price,sales,avg_temp,disaster_count,price_scaled,sales_scaled,temp_scaled,disaster_scaled,risk_score
2001,AK,10.54,5454.08,66.45833333333333,1.0,0.17756482525366404,0.00025153800058525314,0.8593272171253822,0.25,0.393336283988406
2001,AL,5.6,79358.258,63.03333333333333,1.0,0.0383314543404735,0.15185329531195088,0.7895005096839959,0.25,0.3597017733044886
2001,AR,6.05,41732.449,61.225,1.0,0.05101465614430664,0.07467039552160618,0.7526333673122664,0.25,0.3434599809747019
2001,AZ,7.27,62274.304,61.20000000000001,1.0,0.08540022547914317,0.11680849110309363,0.7521236833163442,0.25,0.35439799920104126
2001,CA,11.22,247758.778,59.125,0.0,0.19673055242390083,0.49729810580896733,0.709819911654774,0.0,0.30202189456210904
2001,CO,6.02,44236.038,46.85,1.0,0.05016910935738442,0.0798060793524365,0.4595650696568129,0.25,0.2558839507037644
2001,CT,9.62,30540.758,50.24166666666667,0.0,0.15163472378804957,0.05171255918810696,0.528712198436969,0.0,0.19411186020751134
2001,DE,6.8,11378.626,56.09166666666666,0.0,0.07215332581736189,0.012404728918587508,0.6479782534828405,0.0,0.2100646141001833
2001,FL,7.67,200752.133,70.93333333333335,2.0,0.09667418263810598,0.40087202841843717,0.9505606523955151,0.5,0.5445902350881195
2001,GA,6.39,117790.473,63.94166666666667,1.0,0.06059751972942501,0.23069039882953854,0.8080190282025145,0.25,0.3775942522895932
2001,HI,14.05,9784.563,27.33333333333333,1.0,0.27649379932356266,0.009134781824865316,0.06167176350662584,0.25,0.17471376709918682
2001,IA,6.14,39443.755,49.05833333333334,1.0,0.05355129650507326,0.069975531959928,0.504587155963303,0.25,0.2690839592859984
2001,ID,4.92,21096.017,44.24166666666667,0.0,0.019165727170236735,0.032338291430867236,0.40638803941556234,0.0,0.12898338640180276
2001,IL,6.9,136033.549,53.35833333333332,1.0,0.0749718151071026,0.2681129431999637,0.5922528032619773,0.25,0.3194814983200101
2001,IN,5.3,97733.968,53.15833333333333,0.0,0.029875986471251392,0.1895479156058676,0.5881753312945973,0.0,0.20138258824321623
2001,KS,6.24,35846.951,55.91666666666668,1.0,0.05636978579481397,0.06259730488453114,0.6444104655113833,0.25,0.31085682730083086
2001,KY,4.24,79975.499,56.59166666666667,2.0,0.0,0.15311945945607577,0.6581719334012913,0.5,0.41276352596599497
2001,LA,6.96,74692.751,66.65833333333332,0.0,0.07666290868094702,0.14228280715973196,0.8634046890927621,0.0,0.28858226917999125
2001,MA,11.55,52496.075,49.09166666666666,1.0,0.20603156708004514,0.0967501298587137,0.5052667346245326,0.25,0.3024613467892402
2001,MD,6.6,61640.02,55.325,0.0,0.0665163472378805,0.1155073661648732,0.63234794427455,0.0,0.2145583893464284
2001,ME,10.55,12151.997,42.65,1.0,0.17784667418263814,0.013991167004045249,0.3739381583418281,0.25,0.24914989903948057
2001,MI,6.97,102409.347,46.8,1.0,0.07694475760992109,0.19913865447446924,0.45854570166496766,0.25,0.2728665274689214
2001,MN,5.97,60686.852,43.04999999999999,2.0,0.04875986471251409,0.11355210534304308,0.3820931022765883,0.5,0.33573511415978363
2001,MO,6.03,73213.157,55.80833333333334,0.0,0.05045095828635851,0.13924767360466622,0.6422018348623854,0.0,0.21667550947645395
2001,MS,6.26,44286.865,63.70000000000001,1.0,0.0569334836527621,0.07991034223347232,0.8030920829085969,0.25,0.36030535582647877
2001,MT,6.48,11446.658,43.650000000000006,1.0,0.06313416009019165,0.012544284908959348,0.3943255181787293,0.25,0.23217891596255305
2001,NC,6.58,119026.943,59.39166666666666,0.0,0.06595264937993237,0.23322680515913446,0.7152565409446142,0.0,0.2510901726752842
2001,ND,5.48,9809.757,42.24166666666667,2.0,0.03494926719278468,0.009186462998745669,0.36561331974176015,0.5,0.3175924956609596
2001,NE,5.39,24722.64,50.33333333333332,1.0,0.03241262683201804,0.03977768707512725,0.5305810397553515,0.25,0.26963460600052175
2001,NH,10.95,10315.551,44.575,0.0,0.18912063134160087,0.01022401271937912,0.41318382602786285,0.0,0.16280167534861695
2001,NJ,9.36,73177.39,53.64166666666667,1.0,0.14430665163472375,0.139174303733023,0.5980292218824331,0.25,0.32218752726497696
2001,NM,7.16,18726.594,54.575,1.0,0.08229988726042842,0.027477826159012543,0.6170574243968739,0.25,0.3043249873870491
2001,NV,7.86,28167.293,51.55833333333334,1.0,0.10202931228861331,0.046843802445869456,0.5555555555555557,0.25,0.29175690936897636
2001,NY,11.55,144180.76,46.93333333333334,1.0,0.20603156708004514,0.2848255505005481,0.461264016309888,0.25,0.30806807335903025
2001,OH,6.62,155797.714,52.366666666666674,1.0,0.06708004509582863,0.308655741007576,0.5720353380903841,0.25,0.31589218454703855
2001,OK,6.1,49666.725,60.78333333333334,1.0,0.052423900789177,0.09094620315718252,0.7436289500509686,0.25,0.3426680854888442
2001,OR,5.44,45884.83,47.78333333333334,1.0,0.03382187147688839,0.08318829361156702,0.4785932721712539,0.25,0.25866118530791055
2001,PA,8.01,135271.933,49.93333333333333,1.0,0.10625704622322435,0.2665506184827271,0.5224260958205912,0.25,0.30463429983909496
2001,RI,11.45,7392.917,51.09166666666667,0.0,0.20321307779030437,0.004228729876534354,0.5460414542983351,0.0,0.2048779248352148
2001,SC,5.77,74832.367,63.29166666666666,0.0,0.04312288613303267,0.14256920545982243,0.7947672443085286,0.0,0.26131167106514736
2001,SD,6.35,8626.999,46.49166666666667,2.0,0.05947012401352875,0.006760237633326192,0.4522595990485899,0.5,0.34824792828061535
2001,TN,5.59,96130.718,58.24999999999999,2.0,0.03804960541149943,0.18625912295588443,0.6919809717974855,0.5,0.433830124917134
2001,TX,7.38,318044.174,65.69999999999999,1.0,0.08850056369785794,0.6414765519439779,0.8438668025823987,0.25,0.43500780870868905
2001,UT,5.21,23217.308,49.98333333333332,1.0,0.027339346110484775,0.0366897564233983,0.5234454638124361,0.25,0.26617048400816756
2001,VA,6.18,96453.175,55.84166666666667,2.0,0.05467869222096955,0.18692058823674246,0.6428814135236155,0.5,0.42249222132495284
2001,VT,10.86,5585.446,43.78333333333333,1.0,0.18658399098083425,0.0005210128393550572,0.3970438328236493,0.25,0.25648204932719715
2001,WA,5.34,78495.247,46.875,1.0,0.031003382187147682,0.15008297612676166,0.4600747536527353,0.25,0.25923140014592627
2001,WI,6.08,65218.293,45.32500000000001,1.0,0.051860202931228866,0.12284758006915086,0.4284743459055388,0.25,0.25119910236482246
2001,WV,5.07,27669.432,52.69166666666666,1.0,0.0233934611048478,0.04582252591537623,0.5786612300373767,0.25,0.2828593138237202
2001,WY,4.46,12949.505,43.20000000000001,2.0,0.006200676437429525,0.015627118009005653,0.38515120625212396,0.5,0.31834820896402366
2002,AK,10.46,5465.489,66.60833333333333,1.0,0.17531003382187152,0.00027494160909525417,0.8623853211009175,0.25,0.3938050972555591
2002,AL,5.71,83067.078,63.575,2.0,0.041431792559188274,0.15946130401683814,0.800543662928984,0.5,0.4643955877922167
2002,AR,5.61,42449.558,60.58333333333334,1.0,0.03861330326944759,0.0761414217548429,0.7395514780835885,0.25,0.3372022462544503
2002,AZ,7.21,62600.737,61.175,1.0,0.08370913190529877,0.11747811246664389,0.7516139993204213,0.25,0.3539738374238506
2002,CA,12.19,235213.332,58.85,1.0,0.22406989853438555,0.4715632730657516,0.7042133876996263,0.25,0.40323432332334014
2002,CO,6.0,45936.696,46.083333333333336,1.0,0.049605411499436286,0.08329468782306496,0.443934760448522,0.25,0.25143097921675034
2002,CT,9.71,31005.489,50.46666666666666,0.0,0.15417136414881624,0.052665875200593674,0.5332993544002719,0.0,0.19609066666990418
2002,DE,6.91,12018.734,57.15833333333333,0.0,0.07525366403607667,0.013717800794836015,0.6697247706422019,0.0,0.2173399440793595
2002,FL,7.31,210473.53,71.29166666666667,0.0,0.08652762119503946,0.42081380855326844,0.9578661230037379,0.0,0.3467467419954561
2002,GA,6.24,123789.078,64.35833333333333,0.0,0.05636978579481397,0.2429955090956556,0.81651376146789,0.0,0.28052763650889534
2002,HI,13.39,9891.638,30.08333333333334,0.0,0.25789177001127395,0.009354427839521142,0.11773700305810408,0.0,0.08783489770363813
2002,IA,6.01,40897.543,49.16666666666666,1.0,0.04988726042841035,0.07295772892798272,0.5067957866123002,0.25,0.2693119609621704
2002,ID,5.58,20699.666,42.958333333333336,0.0,0.037767756482525366,0.03152524527112081,0.38022426095820594,0.0,0.12477335411107893
2002,IL,6.94,138447.313,53.241666666666674,1.0,0.07609921082299889,0.2730643664352632,0.5898742779476726,0.25,0.3194885621924278
2002,IN,5.34,101428.55,53.116666666666674,1.0,0.031003382187147682,0.19712671749350838,0.5873258579680599,0.25,0.30211110557719834
2002,KS,6.31,36713.54,55.18333333333333,0.0,0.05834272829763246,0.06437496372361193,0.6294597349643222,0.0,0.20694396252118433
2002,KY,4.26,87266.835,56.833333333333336,2.0,0.0005636978579481311,0.16807638585268117,0.6630988786952091,0.5,0.4158500417654205
2002,LA,5.99,79260.989,66.64166666666667,1.0,0.04932356257046225,0.15165376462598723,0.8630648997621474,0.25,0.3839495589053354
2002,MA,10.06,53707.537,49.34166666666666,0.0,0.16403607666290868,0.09923523656155722,0.5103635745837579,0.0,0.19583981136386483
2002,MD,6.18,68379.906,56.275,1.0,0.05467869222096955,0.12933308738023225,0.6517159361196058,0.25,0.3193838280180989
2002,ME,10.35,11441.358,41.7,0.0,0.17220969560315671,0.012533412867141224,0.3545701664967721,0.0,0.14206633035637709
2002,MI,7.09,104713.52,45.74166666666667,1.0,0.08032694475760993,0.20386527055224232,0.4369690791709141,0.25,0.26754263975802045
2002,MN,5.8,62162.361,42.04166666666666,2.0,0.04396843291995489,0.1165788592205943,0.36153584777437975,0.5,0.3289123268383643
2002,MO,6.09,75000.629,55.31666666666667,1.0,0.05214205186020293,0.14291436612027555,0.6321780496092423,0.25,0.3143732618668408
2002,MS,6.24,45451.85,63.98333333333334,1.0,0.05636978579481397,0.08230010933488546,0.8088685015290521,0.25,0.36216451855116694
2002,MT,5.7,12831.388,41.44166666666667,1.0,0.04114994363021421,0.01538482122345252,0.34930343187223933,0.25,0.2145595004100599
2002,NC,6.74,122686.468,59.975,0.0,0.07046223224351747,0.2407336936184699,0.72714916751614,0.0,0.2563105660653925
2002,ND,5.45,10219.353,40.99999999999999,2.0,0.03410372040586246,0.010026679006394194,0.34029901461094114,0.5,0.3099131163650943
2002,NE,5.55,25661.061,50.00833333333333,1.0,0.03692220969560314,0.0417026969534306,0.523955147808359,0.25,0.26874125597697135
2002,NH,10.6,10383.387,44.525000000000006,0.0,0.17925591882750844,0.010363166649336557,0.41216445803601787,0.0,0.1605368378412407
2002,NJ,9.3,74602.62,54.30833333333334,1.0,0.14261555806087942,0.1420979188576358,0.6116207951070337,0.25,0.3262191420300496
2002,NM,6.73,19206.917,54.383333333333326,1.0,0.0701803833145434,0.028463126487731,0.613149847094801,0.25,0.30082734344012213
2002,NV,8.42,29204.272,50.8,1.0,0.11781285231116123,0.04897098717275976,0.5400951410125722,0.25,0.29048821148327986
2002,NY,11.16,147440.116,46.84166666666666,0.0,0.19503945885005639,0.2915115608273708,0.4593951749915052,0.0,0.20597760035019988
2002,OH,6.77,153407.098,52.53333333333333,0.0,0.07130777903043967,0.30375180192774925,0.5754332313965341,0.0,0.21726670541782309
2002,OK,5.59,49485.466,59.41666666666668,1.0,0.03804960541149943,0.09057438137833126,0.7157662249405371,0.25,0.33139722670229416
2002,OR,6.32,45255.173,47.708333333333336,2.0,0.05862457722660655,0.08189666017098668,0.4770642201834864,0.5,0.3630338475174659
2002,PA,8.06,139819.87,50.3,0.0,0.1076662908680947,0.27587993192616167,0.5299014610941216,0.0,0.20809168969447162
2002,RI,9.2,7560.699,51.175,0.0,0.13979706877113865,0.004572905899237907,0.5477404009514101,0.0,0.19273882462957453
2002,SC,5.83,77819.392,63.7,1.0,0.044813979706877116,0.14869657540544287,0.8030920829085967,0.25,0.36476007835449875
2002,SD,6.26,8936.801,46.24166666666665,1.0,0.0569334836527621,0.007395743350182626,0.4471627590893643,0.25,0.24627509879237997
2002,TN,5.72,98233.027,58.725,2.0,0.04171364148816234,0.19057164962807746,0.7016649677200136,0.5,0.4378993835764443
2002,TX,6.62,320845.849,65.02499999999999,1.0,0.06708004509582863,0.6472237081252606,0.8301053346924906,0.25,0.427169980239439
2002,UT,5.39,23267.188,48.825,1.0,0.03241262683201804,0.036792076696207376,0.49983010533469263,0.25,0.2601107646364321
2002,VA,6.23,100618.57,56.55833333333334,2.0,0.05608793686583993,0.19546518231768842,0.6574923547400612,0.5,0.42801181202695515
2002,VT,10.87,5629.263,43.56666666666666,1.0,0.18686583990980835,0.0006108959065899318,0.39262657152565406,0.25,0.2552222290303169
2002,WA,5.88,75403.856,46.93333333333334,1.0,0.04622322435174747,0.14374151721578451,0.461264016309888,0.25,0.2619980014848943
2002,WI,6.28,66999.296,44.58333333333334,2.0,0.05749718151071026,0.12650100253975619,0.41335372069317045,0.5,0.34815565276406885
2002,WV,5.11,28463.122,53.23333333333335,2.0,0.02452085682074409,0.047450644947570286,0.5897043832823653,0.5,0.38656055084361546
2002,WY,4.68,12874.06,41.375,1.0,0.01240135287485905,0.015472355519388949,0.34794427454977916,0.25,0.20841078849184444
2003,AK,10.5,5563.682,66.86666666666667,1.0,0.17643742953776778,0.00047636772272681253,0.8676520557254505,0.25,0.39563073939746135
2003,AL,5.88,83844.22,62.73333333333334,2.0,0.04622322435174747,0.1610554776626159,0.7833843017329257,0.5,0.46036548315648884
2003,AR,5.57,43108.259,60.26666666666666,1.0,0.0374859075535513,0.07749263398458658,0.7330954808019027,0.25,0.3351750891497397
2003,AZ,7.34,64079.56,61.9,1.0,0.08737316798196165,0.12051166444732442,0.7663948352021747,0.25,0.35944425060177715
2003,CA,11.78,243221.316,59.42499999999999,1.0,0.21251409244644867,0.48799028003308836,0.7159361196058441,0.25,0.40608268237435174
