state,declarationDate,incidentType,incidentEndDate,fyDeclared,region
KS,2022-03-05T00:00:00.000Z,Fire,2022-03-16T00:00:00.000Z,2022,7
FL,2022-03-04T00:00:00.000Z,Fire,2022-04-01T00:00:00.000Z,2022,4
CO,2021-12-30T00:00:00.000Z,Fire,2022-01-07T00:00:00.000Z,2022,8
OK,2021-12-15T00:00:00.000Z,Fire,2021-12-22T00:00:00.000Z,2022,6
TX,2021-12-10T00:00:00.000Z,Fire,2021-12-12T00:00:00.000Z,2022,6
CA,2021-10-13T00:00:00.000Z,Fire,2021-11-17T00:00:00.000Z,2022,9
SD,2021-10-04T00:00:00.000Z,Fire,2021-10-10T00:00:00.000Z,2022,8
CA,2021-09-23T00:00:00.000Z,Fire,2021-09-28T00:00:00.000Z,2021,9
CA,2021-08-25T00:00:00.000Z,Fire,2021-09-06T00:00:00.000Z,2021,9
WA,2021-08-19T00:00:00.000Z,Fire,2021-09-27T00:00:00.000Z,2021,10
WA,2021-08-18T00:00:00.000Z,Fire,2021-09-13T00:00:00.000Z,2021,10
WA,2021-08-16T00:00:00.000Z,Fire,2021-08-29T00:00:00.000Z,2021,10
WA,2021-08-16T00:00:00.000Z,Fire,2021-09-01T00:00:00.000Z,2021,10
OR,2021-08-16T00:00:00.000Z,Fire,2021-08-31T00:00:00.000Z,2021,10
ID,2021-08-13T00:00:00.000Z,Fire,2021-08-17T00:00:00.000Z,2021,10
ID,2021-08-13T00:00:00.000Z,Fire,2021-08-17T00:00:00.000Z,2021,10
MT,2021-08-10T00:00:00.000Z,Fire,2021-08-13T00:00:00.000Z,2021,8
HI,2021-08-01T00:00:00.000Z,Fire,2021-08-03T00:00:00.000Z,2021,9
MT,2021-07-28T00:00:00.000Z,Fire,2021-07-31T00:00:00.000Z,2021,8
MT,2021-07-28T00:00:00.000Z,Fire,2021-07-31T00:00:00.000Z,2021,8
NV,2021-07-22T00:00:00.000Z,Fire,2021-07-29T00:00:00.000Z,2021,9
WA,2021-07-20T00:00:00.000Z,Fire,2021-08-22T00:00:00.000Z,2021,10
WA,2021-07-14T00:00:00.000Z,Fire,2021-07-20T00:00:00.000Z,2021,10
WA,2021-07-13T00:00:00.000Z,Fire,2021-07-26T00:00:00.000Z,2021,10
OR,2021-07-10T00:00:00.000Z,Fire,2021-08-15T00:00:00.000Z,2021,10
OR,2021-07-10T00:00:00.000Z,Fire,2021-08-15T00:00:00.000Z,2021,10
WA,2021-07-06T00:00:00.000Z,Fire,2021-07-11T00:00:00.000Z,2021,10
OR,2021-06-30T00:00:00.000Z,Fire,2021-06-30T00:00:00.000Z,2021,10
CA,2021-06-29T00:00:00.000Z,Fire,2021-07-06T00:00:00.000Z,2021,9
MT,2021-06-16T00:00:00.000Z,Fire,2021-06-20T00:00:00.000Z,2021,8
NV,2021-06-09T00:00:00.000Z,Fire,2021-06-10T00:00:00.000Z,2021,9
AZ,2021-06-06T00:00:00.000Z,Fire,2021-06-24T00:00:00.000Z,2021,9
AZ,2021-06-06T00:00:00.000Z,Fire,2021-06-24T00:00:00.000Z,2021,9
UT,2021-06-05T00:00:00.000Z,Fire,2021-06-13T00:00:00.000Z,2021,8
AZ,2021-05-27T00:00:00.000Z,Fire,2021-05-29T00:00:00.000Z,2021,9
NM,2021-04-27T00:00:00.000Z,Fire,,2021,6
AZ,2021-04-08T00:00:00.000Z,Fire,2021-04-10T00:00:00.000Z,2021,9
SD,2021-03-29T00:00:00.000Z,Fire,2021-04-04T00:00:00.000Z,2021,8
CA,2020-12-03T00:00:00.000Z,Fire,,2021,9
NV,2020-11-17T00:00:00.000Z,Fire,2020-11-18T00:00:00.000Z,2021,9
CA,2020-10-26T00:00:00.000Z,Fire,,2021,9
CA,2020-10-26T00:00:00.000Z,Fire,,2021,9
CA,2020-10-26T00:00:00.000Z,Fire,,2021,9
CA,2020-10-26T00:00:00.000Z,Fire,,2021,9
CO,2020-10-17T00:00:00.000Z,Fire,2020-10-24T00:00:00.000Z,2021,8
CO,2020-10-17T00:00:00.000Z,Fire,2020-11-05T00:00:00.000Z,2021,8
WY,2020-09-26T00:00:00.000Z,Fire,2020-10-19T00:00:00.000Z,2020,8
WY,2020-09-26T00:00:00.000Z,Fire,2020-10-19T00:00:00.000Z,2020,8
CA,2020-09-13T00:00:00.000Z,Fire,,2020,9
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
