state_code,year,avg_temp
1002,2001,63.03333333333333
1002,2002,63.574999999999996
1002,2003,62.73333333333334
1002,2004,63.33333333333332
1002,2005,63.39166666666665
1002,2006,64.19999999999999
1002,2007,64.4
1002,2008,62.91666666666668
1002,2009,62.90833333333333
1002,2010,62.708333333333336
1002,2011,63.83333333333332
1002,2012,64.91666666666667
1002,2013,62.599999999999994
1002,2014,62.03333333333334
1002,2015,64.61666666666666
1002,2016,65.34166666666667
1002,2017,65.03333333333332
1002,2018,64.45
1002,2019,65.375
1002,2020,64.86666666666666
1002,2021,64.2
1002,2022,64.01666666666667
1002,2023,65.34166666666668
2002,2001,61.20000000000001
2002,2002,61.175000000000004
2002,2003,61.9
2002,2004,60.40833333333333
2002,2005,61.13333333333333
2002,2006,61.12499999999999
2002,2007,61.58333333333332
2002,2008,60.61666666666665
2002,2009,61.083333333333336
2002,2010,60.39166666666667
2002,2011,60.33333333333332
2002,2012,62.099999999999994
2002,2013,60.449999999999996
2002,2014,62.25
2002,2015,61.75
2002,2016,62.17500000000001
2002,2017,63.03333333333333
2002,2018,62.26666666666666
2002,2019,60.25833333333333
2002,2020,62.616666666666674
2002,2021,62.099999999999994
2002,2022,61.23333333333333
2002,2023,60.73333333333333
3002,2001,61.225
3002,2002,60.58333333333334
3002,2003,60.26666666666666
3002,2004,61.025000000000006
3002,2005,61.958333333333336
3002,2006,61.991666666666674
3002,2007,61.80833333333334
3002,2008,59.85833333333333
3002,2009,59.925000000000004
3002,2010,61.17499999999999
3002,2011,61.81666666666666
3002,2012,63.60833333333334
3002,2013,59.64166666666666
3002,2014,58.66666666666666
3002,2015,61.4
3002,2016,62.791666666666664
3002,2017,62.541666666666664
3002,2018,61.166666666666664
3002,2019,61.21666666666667
3002,2020,61.15
3002,2021,61.349999999999994
3002,2022,61.149999999999984
3002,2023,62.925000000000004
4002,2001,59.125
4002,2002,58.849999999999994
4002,2003,59.42499999999999
4002,2004,58.85833333333335
4002,2005,58.6
4002,2006,58.64166666666666
4002,2007,58.925000000000004
4002,2008,58.91666666666666
4002,2009,58.833333333333336
4002,2010,57.724999999999994
4002,2011,57.43333333333334
4002,2012,59.50833333333333
4002,2013,59.31666666666666
4002,2014,61.449999999999996
4002,2015,60.75833333333333
4002,2016,60.13333333333333
4002,2017,60.34166666666666
4002,2018,60.125
4002,2019,58.40833333333333
4002,2020,60.51666666666667
4002,2021,60.35
4002,2022,60.04999999999999
4002,2023,58.25000000000001
5002,2001,46.85
5002,2002,46.083333333333336
5002,2003,47.025000000000006
5002,2004,45.84166666666667
5002,2005,46.76666666666667
5002,2006,46.508333333333326
5002,2007,46.175000000000004
5002,2008,44.94166666666666
5002,2009,45.18333333333333
5002,2010,46.15
5002,2011,45.43333333333334
5002,2012,48.31666666666666
5002,2013,45.09166666666667
5002,2014,46.05833333333333
5002,2015,47.44166666666666
5002,2016,47.28333333333334
5002,2017,47.925000000000004
5002,2018,47.166666666666664
5002,2019,45.26666666666666
5002,2020,47.25833333333335
5002,2021,47.474999999999994
5002,2022,46.19166666666667
5002,2023,45.59166666666666
6002,2001,50.24166666666667
6002,2002,50.46666666666666
6002,2003,48.15833333333333
6002,2004,48.75833333333333
6002,2005,49.50833333333333
6002,2006,51.13333333333333
6002,2007,49.53333333333333
6002,2008,49.70000000000001
6002,2009,48.84166666666667
6002,2010,51.35
6002,2011,50.85833333333333
6002,2012,52.46666666666666
6002,2013,49.78333333333333
6002,2014,48.675000000000004
6002,2015,49.84166666666667
6002,2016,51.775000000000006
6002,2017,50.925000000000004
6002,2018,50.758333333333326
6002,2019,49.75
6002,2020,51.78333333333334
6002,2021,51.383333333333326
6002,2022,50.991666666666674
6002,2023,52.20833333333334
7002,2001,56.09166666666666
7002,2002,57.15833333333333
7002,2003,54.583333333333336
7002,2004,55.824999999999996
7002,2005,55.724999999999994
7002,2006,57.324999999999996
7002,2007,56.29166666666668
7002,2008,56.30833333333334
7002,2009,55.42500000000001
7002,2010,56.675000000000004
7002,2011,57.425000000000004
7002,2012,58.475
7002,2013,55.82500000000001
7002,2014,54.71666666666667
7002,2015,56.416666666666664
7002,2016,57.366666666666674
7002,2017,57.62499999999999
7002,2018,57.14166666666667
7002,2019,57.45833333333334
7002,2020,57.98333333333333
7002,2021,57.400000000000006
7002,2022,56.533333333333324
7002,2023,57.75
8002,2001,70.93333333333335
8002,2002,71.29166666666667
8002,2003,70.86666666666666
8002,2004,70.81666666666666
8002,2005,70.83333333333333
8002,2006,71.35833333333333
8002,2007,71.75
8002,2008,70.825
8002,2009,71.15833333333332
8002,2010,69.19166666666666
8002,2011,71.68333333333334
8002,2012,71.89166666666667
8002,2013,71.68333333333334
8002,2014,70.64166666666668
8002,2015,73.35833333333333
8002,2016,72.46666666666667
8002,2017,72.84166666666665
8002,2018,72.27499999999999
8002,2019,73.18333333333332
8002,2020,73.22500000000001
8002,2021,72.19166666666668
8002,2022,72.52499999999999
8002,2023,73.26666666666667
9002,2001,63.94166666666667
9002,2002,64.35833333333333
9002,2003,63.316666666666656
9002,2004,63.975
9002,2005,63.79166666666666
9002,2006,64.55
9002,2007,64.8
9002,2008,63.51666666666667
9002,2009,63.41666666666668
9002,2010,62.95833333333332
9002,2011,64.64166666666667
9002,2012,65.5
9002,2013,63.39166666666667
9002,2014,62.96666666666667
9002,2015,65.30833333333332
9002,2016,65.79166666666667
9002,2017,65.825
9002,2018,65.08333333333333
9002,2019,66.21666666666667
9002,2020,65.60833333333332
9002,2021,64.60000000000001
9002,2022,64.78333333333335
9002,2023,65.60000000000001
10002,2001,44.24166666666667
10002,2002,42.958333333333336
10002,2003,45.36666666666667
10002,2004,44.15
10002,2005,43.583333333333336
10002,2006,44.18333333333334
10002,2007,44.775
10002,2008,42.525000000000006
10002,2009,42.81666666666667
10002,2010,43.324999999999996
10002,2011,42.38333333333333
10002,2012,45.099999999999994
10002,2013,43.708333333333336
10002,2014,45.1
10002,2015,46.375
10002,2016,45.09166666666667
10002,2017,44.258333333333326
10002,2018,44.525
10002,2019,42.98333333333334
10002,2020,44.333333333333336
10002,2021,45.416666666666664
10002,2022,43.53333333333333
10002,2023,43.76666666666667
11002,2001,53.35833333333332
11002,2002,53.241666666666674
11002,2003,51.70833333333332
11002,2004,52.583333333333336
11002,2005,53.70000000000001
11002,2006,53.99999999999999
11002,2007,53.67500000000001
11002,2008,50.916666666666664
11002,2009,51.425000000000004
11002,2010,52.89166666666667
11002,2011,53.15
11002,2012,55.775
11002,2013,51.083333333333336
11002,2014,49.48333333333333
11002,2015,52.866666666666674
11002,2016,54.73333333333333
11002,2017,54.39166666666666
11002,2018,52.475
11002,2019,52.1
11002,2020,53.30833333333334
11002,2021,53.76666666666667
11002,2022,52.05833333333333
11002,2023,54.74166666666667
12002,2001,53.15833333333333
12002,2002,53.116666666666674
12002,2003,51.06666666666667
12002,2004,52.21666666666666
12002,2005,52.85
12002,2006,53.425000000000004
12002,2007,53.28333333333333
12002,2008,51.04166666666668
12002,2009,51.283333333333324
12002,2010,52.59999999999999
12002,2011,53.06666666666666
12002,2012,55.13333333333335
12002,2013,51.208333333333336
12002,2014,49.40833333333333
12002,2015,52.30833333333334
12002,2016,54.224999999999994
12002,2017,53.975
12002,2018,52.59166666666666
12002,2019,52.400000000000006
12002,2020,53.291666666666664
12002,2021,53.5
12002,2022,52.175000000000004
12002,2023,54.324999999999996
13002,2001,49.05833333333334
13002,2002,49.166666666666664
13002,2003,47.90833333333333
13002,2004,48.50833333333333
13002,2005,49.61666666666667
13002,2006,50.39166666666666
13002,2007,48.89166666666667
13002,2008,45.916666666666664
13002,2009,46.699999999999996
13002,2010,48.19166666666666
13002,2011,48.40833333333333
13002,2012,52.06666666666667
13002,2013,46.65833333333333
13002,2014,45.458333333333336
13002,2015,49.26666666666666
13002,2016,50.71666666666667
13002,2017,50.0
13002,2018,47.491666666666674
13002,2019,46.81666666666667
13002,2020,49.150000000000006
13002,2021,50.0
13002,2022,47.508333333333326
13002,2023,50.51666666666666
14002,2001,55.91666666666668
14002,2002,55.18333333333333
14002,2003,54.96666666666667
14002,2004,55.06666666666667
14002,2005,55.89166666666667
14002,2006,56.87500000000001
14002,2007,55.074999999999996
14002,2008,53.574999999999996
14002,2009,53.599999999999994
14002,2010,55.275
14002,2011,55.20833333333334
14002,2012,58.21666666666667
14002,2013,53.71666666666667
14002,2014,53.68333333333333
14002,2015,56.300000000000004
14002,2016,57.16666666666666
14002,2017,56.50000000000001
14002,2018,54.599999999999994
14002,2019,53.816666666666684
14002,2020,55.61666666666667
14002,2021,56.11666666666667
14002,2022,55.15
14002,2023,56.341666666666676
15002,2001,56.59166666666667
15002,2002,56.833333333333336
15002,2003,55.241666666666674
15002,2004,56.40833333333333
15002,2005,56.78333333333333
15002,2006,56.80833333333333
15002,2007,57.71666666666666
15002,2008,55.350000000000016
15002,2009,55.39166666666667
15002,2010,56.00833333333333
15002,2011,56.925000000000004
15002,2012,58.40833333333334
15002,2013,55.041666666666664
15002,2014,54.341666666666676
15002,2015,56.56666666666666
15002,2016,57.925000000000004
15002,2017,57.81666666666666
15002,2018,56.95833333333332
15002,2019,57.475
15002,2020,57.14166666666665
15002,2021,56.958333333333336
15002,2022,56.324999999999996
15002,2023,58.09166666666666
16002,2001,66.65833333333332
16002,2002,66.64166666666667
16002,2003,66.375
16002,2004,67.14166666666667
16002,2005,67.50833333333334
16002,2006,67.77499999999999
16002,2007,67.38333333333334
16002,2008,66.64166666666667
16002,2009,66.85000000000001
16002,2010,66.45833333333333
16002,2011,67.71666666666667
16002,2012,68.71666666666667
16002,2013,66.25000000000001
16002,2014,65.075
16002,2015,68.09166666666668
16002,2016,68.74166666666667
16002,2017,68.71666666666667
16002,2018,67.775
16002,2019,67.70833333333334
16002,2020,68.15833333333335
16002,2021,67.48333333333333
16002,2022,67.25
16002,2023,69.63333333333334
17002,2001,42.65
17002,2002,41.699999999999996
17002,2003,40.449999999999996
17002,2004,40.44166666666666
17002,2005,41.833333333333336
17002,2006,43.974999999999994
17002,2007,40.71666666666667
17002,2008,41.60833333333333
17002,2009,40.85833333333333
17002,2010,44.63333333333333
17002,2011,42.81666666666667
17002,2012,43.85833333333332
17002,2013,41.96666666666667
17002,2014,41.19166666666667
17002,2015,41.225
17002,2016,43.258333333333326
17002,2017,42.36666666666667
17002,2018,41.76666666666666
17002,2019,40.675000000000004
17002,2020,43.50833333333333
17002,2021,44.225
17002,2022,43.383333333333326
17002,2023,44.31666666666666
18002,2001,55.324999999999996
18002,2002,56.275
18002,2003,53.916666666666664
18002,2004,55.16666666666668
18002,2005,55.166666666666664
18002,2006,56.51666666666666
18002,2007,55.69166666666666
18002,2008,55.31666666666666
18002,2009,54.60833333333333
18002,2010,55.849999999999994
18002,2011,56.525
18002,2012,57.491666666666674
18002,2013,54.71666666666667
18002,2014,53.56666666666667
18002,2015,55.44166666666666
18002,2016,56.46666666666667
18002,2017,56.68333333333333
18002,2018,55.925000000000004
18002,2019,56.55833333333333
18002,2020,57.19999999999999
18002,2021,56.84166666666666
18002,2022,55.71666666666666
18002,2023,57.300000000000004
19002,2001,49.09166666666666
19002,2002,49.34166666666666
19002,2003,47.10833333333333
19002,2004,47.61666666666667
19002,2005,48.39166666666667
19002,2006,50.11666666666667
19002,2007,48.29166666666668
19002,2008,48.60833333333333
19002,2009,47.74166666666667
19002,2010,50.35
19002,2011,49.666666666666664
19002,2012,51.33333333333334
19002,2013,48.79999999999999
19002,2014,47.725
19002,2015,48.458333333333336
19002,2016,50.316666666666684
19002,2017,49.574999999999996
19002,2018,49.474999999999994
19002,2019,48.541666666666664
19002,2020,50.900000000000006
19002,2021,50.80833333333333
19002,2022,50.300000000000004
19002,2023,51.26666666666667
20002,2001,46.800000000000004
20002,2002,45.74166666666667
20002,2003,43.96666666666667
20002,2004,44.583333333333336
20002,2005,46.04166666666668
20002,2006,47.01666666666667
20002,2007,46.09166666666667
20002,2008,44.03333333333333
20002,2009,43.775
20002,2010,47.074999999999996
20002,2011,45.61666666666667
20002,2012,48.425000000000004
20002,2013,44.05833333333333
20002,2014,41.88333333333333
20002,2015,45.10833333333333
20002,2016,47.366666666666674
20002,2017,46.291666666666664
20002,2018,45.10833333333333
20002,2019,43.93333333333334
20002,2020,46.541666666666664
20002,2021,47.4
20002,2022,45.06666666666666
20002,2023,47.425000000000004
21002,2001,43.04999999999999
21002,2002,42.041666666666664
21002,2003,41.516666666666666
21002,2004,41.300000000000004
21002,2005,43.06666666666667
21002,2006,44.38333333333333
21002,2007,42.4
21002,2008,39.416666666666664
21002,2009,40.10833333333333
21002,2010,42.84166666666667
21002,2011,42.025
21002,2012,45.208333333333336
21002,2013,39.325
21002,2014,38.64166666666666
21002,2015,43.49166666666667
21002,2016,44.56666666666666
21002,2017,42.63333333333333
21002,2018,40.59166666666666
21002,2019,39.300000000000004
21002,2020,42.40833333333333
21002,2021,44.30000000000001
21002,2022,40.0
21002,2023,43.75833333333333
22002,2001,63.70000000000001
22002,2002,63.98333333333334
22002,2003,63.26666666666666
22002,2004,64.00833333333333
22002,2005,64.27500000000002
22002,2006,64.75833333333334
22002,2007,64.95
22002,2008,63.324999999999996
22002,2009,63.63333333333333
22002,2010,63.48333333333333
22002,2011,64.45
22002,2012,65.68333333333334
22002,2013,63.083333333333336
22002,2014,62.31666666666666
22002,2015,65.29166666666667
22002,2016,65.90833333333335
22002,2017,65.77499999999999
22002,2018,64.77499999999999
22002,2019,65.22500000000001
22002,2020,65.45
22002,2021,64.68333333333332
22002,2022,64.66666666666667
22002,2023,66.74166666666666
23002,2001,55.80833333333334
23002,2002,55.31666666666667
23002,2003,54.5
23002,2004,54.96666666666667
23002,2005,56.23333333333332
23002,2006,56.75
23002,2007,56.18333333333334
23002,2008,53.43333333333334
23002,2009,53.974999999999994
23002,2010,55.20833333333332
23002,2011,55.64166666666667
23002,2012,58.54999999999998
23002,2013,53.60833333333333
23002,2014,52.875
23002,2015,55.84166666666667
23002,2016,57.44166666666666
23002,2017,57.15
23002,2018,55.199999999999996
23002,2019,54.975
23002,2020,55.758333333333326
23002,2021,56.30000000000001
23002,2022,55.025
23002,2023,57.4
24002,2001,43.650000000000006
24002,2002,41.44166666666667
24002,2003,43.333333333333336
24002,2004,42.81666666666667
24002,2005,43.05833333333334
24002,2006,44.375
24002,2007,44.025000000000006
24002,2008,41.38333333333333
24002,2009,41.14166666666666
24002,2010,41.558333333333344
24002,2011,41.58333333333333
24002,2012,44.53333333333333
24002,2013,42.38333333333333
24002,2014,41.90833333333333
24002,2015,44.85833333333334
24002,2016,44.62500000000001
24002,2017,43.175000000000004
24002,2018,41.275
24002,2019,39.87500000000001
24002,2020,43.28333333333333
24002,2021,43.96666666666667
24002,2022,42.075
24002,2023,43.85
25002,2001,50.33333333333332
25002,2002,50.00833333333333
25002,2003,49.78333333333334
25002,2004,49.80833333333333
25002,2005,50.70000000000001
25002,2006,51.091666666666676
25002,2007,49.958333333333336
25002,2008,47.69166666666666
25002,2009,47.6
25002,2010,49.34166666666667
25002,2011,48.78333333333334
25002,2012,52.70833333333334
25002,2013,48.45833333333332
25002,2014,48.01666666666667
25002,2015,50.800000000000004
25002,2016,51.65
25002,2017,50.666666666666664
25002,2018,48.25833333333333
25002,2019,47.491666666666674
25002,2020,50.550000000000004
25002,2021,51.041666666666664
25002,2022,49.650000000000006
25002,2023,50.43333333333334
26002,2001,51.55833333333334
26002,2002,50.800000000000004
26002,2003,52.24166666666667
26002,2004,50.833333333333336
26002,2005,50.666666666666664
26002,2006,50.79166666666668
26002,2007,51.525
26002,2008,50.416666666666664
26002,2009,50.36666666666667
26002,2010,50.04999999999999
26002,2011,49.56666666666666
26002,2012,52.35833333333333
26002,2013,50.49166666666667
26002,2014,53.03333333333333
26002,2015,52.89166666666666
26002,2016,51.93333333333334
26002,2017,52.21666666666666
26002,2018,52.008333333333326
26002,2019,49.875
26002,2020,52.44166666666666
26002,2021,52.54166666666668
26002,2022,51.61666666666667
26002,2023,49.88333333333333
27002,2001,44.574999999999996
27002,2002,44.525000000000006
27002,2003,42.49999999999999
27002,2004,42.98333333333333
27002,2005,44.03333333333333
27002,2006,45.78333333333334
27002,2007,43.1
27002,2008,43.85
27002,2009,42.96666666666667
27002,2010,45.98333333333334
27002,2011,44.93333333333333
27002,2012,46.59166666666667
27002,2013,44.199999999999996
27002,2014,43.050000000000004
27002,2015,43.616666666666674
27002,2016,45.73333333333333
27002,2017,44.93333333333333
27002,2018,44.449999999999996
27002,2019,43.25
27002,2020,45.85
27002,2021,46.06666666666666
27002,2022,45.416666666666664
27002,2023,46.699999999999996
28002,2001,53.64166666666667
28002,2002,54.30833333333334
28002,2003,51.84166666666666
28002,2004,53.01666666666667
28002,2005,53.449999999999996
28002,2006,54.975
28002,2007,53.58333333333334
28002,2008,53.62500000000001
28002,2009,52.73333333333334
28002,2010,54.675000000000004
28002,2011,54.85833333333332
28002,2012,55.86666666666667
28002,2013,53.208333333333336
28002,2014,51.94166666666667
28002,2015,53.866666666666674
28002,2016,54.95000000000001
28002,2017,54.59166666666667
28002,2018,54.17499999999999
28002,2019,54.275
28002,2020,55.525000000000006
28002,2021,55.08333333333334
28002,2022,54.34166666666666
28002,2023,55.55833333333333
29002,2001,54.574999999999996
29002,2002,54.383333333333326
29002,2003,55.48333333333333
29002,2004,53.541666666666664
29002,2005,54.71666666666666
