period,stateid,stateDescription,sectorid,sectorName,sales,sales-units
2002,MT,Montana,ALL,all sectors,12831.388,million kilowatt hours
2002,MTN,Mountain,ALL,all sectors,226620.924,million kilowatt hours
2002,NC,North Carolina,ALL,all sectors,122686.468,million kilowatt hours
2002,ND,North Dakota,ALL,all sectors,10219.353,million kilowatt hours
2002,NE,Nebraska,ALL,all sectors,25661.061,million kilowatt hours
2002,NEW,New England,ALL,all sectors,119727.733,million kilowatt hours
2002,NH,New Hampshire,ALL,all sectors,10383.387,million kilowatt hours
2002,NJ,New Jersey,ALL,all sectors,74602.62,million kilowatt hours
2002,NM,New Mexico,ALL,all sectors,19206.917,million kilowatt hours
2002,NV,Nevada,ALL,all sectors,29204.272,million kilowatt hours
2002,NY,New York,ALL,all sectors,147440.116,million kilowatt hours
2002,OH,Ohio,ALL,all sectors,153407.098,million kilowatt hours
2002,OK,Oklahoma,ALL,all sectors,49485.466,million kilowatt hours
2002,OR,Oregon,ALL,all sectors,45255.173,million kilowatt hours
2002,PA,Pennsylvania,ALL,all sectors,139819.87,million kilowatt hours
2002,PACC,Pacific Contiguous,ALL,all sectors,355872.361,million kilowatt hours
2002,PACN,Pacific Noncontiguous,ALL,all sectors,15357.127,million kilowatt hours
2002,RI,Rhode Island,ALL,all sectors,7560.699,million kilowatt hours
2002,SAT,South Atlantic,ALL,all sectors,755377.543,million kilowatt hours
2002,SC,South Carolina,ALL,all sectors,77819.392,million kilowatt hours
2002,SD,South Dakota,ALL,all sectors,8936.801,million kilowatt hours
2002,TN,Tennessee,ALL,all sectors,98233.027,million kilowatt hours
2002,TX,Texas,ALL,all sectors,320845.849,million kilowatt hours
2002,US,U.S. Total,ALL,all sectors,3465466.011,million kilowatt hours
2002,UT,Utah,ALL,all sectors,23267.188,million kilowatt hours
2002,VA,Virginia,ALL,all sectors,100618.57,million kilowatt hours
2002,VT,Vermont,ALL,all sectors,5629.263,million kilowatt hours
2002,WA,Washington,ALL,all sectors,75403.856,million kilowatt hours
2002,WI,Wisconsin,ALL,all sectors,66999.296,million kilowatt hours
2002,WNC,West North Central,ALL,all sectors,259591.288,million kilowatt hours
2002,WSC,West South Central,ALL,all sectors,492041.862,million kilowatt hours
2002,WV,West Virginia,ALL,all sectors,28463.122,million kilowatt hours
2002,WY,Wyoming,ALL,all sectors,12874.06,million kilowatt hours
2003,AK,Alaska,ALL,all sectors,5563.682,million kilowatt hours
2003,AL,Alabama,ALL,all sectors,83844.22,million kilowatt hours
2003,AR,Arkansas,ALL,all sectors,43108.259,million kilowatt hours
2003,AZ,Arizona,ALL,all sectors,64079.56,million kilowatt hours
2003,CA,California,ALL,all sectors,243221.316,million kilowatt hours
2003,CO,Colorado,ALL,all sectors,46494.645,million kilowatt hours
2003,CT,Connecticut,ALL,all sectors,31830.218,million kilowatt hours
2003,DC,District of Columbia,ALL,all sectors,10946.383,million kilowatt hours
2003,DE,Delaware,ALL,all sectors,12599.59,million kilowatt hours
2003,ENC,East North Central,ALL,all sectors,565023.595,million kilowatt hours
2003,ESC,East South Central,ALL,all sectors,312063.54,million kilowatt hours
2003,FL,Florida,ALL,all sectors,217378.622,million kilowatt hours
2003,GA,Georgia,ALL,all sectors,123676.657,million kilowatt hours
2003,HI,Hawaii,ALL,all sectors,10390.836,million kilowatt hours
2003,IA,Iowa,ALL,all sectors,41207.284,million kilowatt hours
2003,ID,Idaho,ALL,all sectors,21218.685,million kilowatt hours
2003,IL,Illinois,ALL,all sectors,136247.891,million kilowatt hours
2003,IN,Indiana,ALL,all sectors,100467.779,million kilowatt hours
2003,KS,Kansas,ALL,all sectors,36735.39,million kilowatt hours
2003,KY,Kentucky,ALL,all sectors,85219.631,million kilowatt hours
2003,LA,Louisiana,ALL,all sectors,77769.322,million kilowatt hours
2003,MA,Massachusetts,ALL,all sectors,55514.357,million kilowatt hours
2003,MAT,Middle Atlantic,ALL,all sectors,360796.343,million kilowatt hours
2003,MD,Maryland,ALL,all sectors,71258.583,million kilowatt hours
2003,ME,Maine,ALL,all sectors,11971.837,million kilowatt hours
2003,MI,Michigan,ALL,all sectors,108877.193,million kilowatt hours
2003,MN,Minnesota,ALL,all sectors,63087.339,million kilowatt hours
2003,MO,Missouri,ALL,all sectors,74239.888,million kilowatt hours
2003,MS,Mississippi,ALL,all sectors,45543.881,million kilowatt hours
2003,MT,Montana,ALL,all sectors,12824.66,million kilowatt hours
2003,MTN,Mountain,ALL,all sectors,231193.887,million kilowatt hours
2003,NC,North Carolina,ALL,all sectors,121335.121,million kilowatt hours
2003,ND,North Dakota,ALL,all sectors,10461.108,million kilowatt hours
2003,NE,Nebraska,ALL,all sectors,25856.566,million kilowatt hours
2003,NEW,New England,ALL,all sectors,123438.009,million kilowatt hours
2003,NH,New Hampshire,ALL,all sectors,10972.542,million kilowatt hours
2003,NJ,New Jersey,ALL,all sectors,76382.512,million kilowatt hours
2003,NM,New Mexico,ALL,all sectors,19330.491,million kilowatt hours
2003,NV,Nevada,ALL,all sectors,30131.66,million kilowatt hours
2003,NY,New York,ALL,all sectors,144044.703,million kilowatt hours
2003,OH,Ohio,ALL,all sectors,152189.238,million kilowatt hours
2003,OK,Oklahoma,ALL,all sectors,50428.168,million kilowatt hours
2003,OR,Oregon,ALL,all sectors,45194.73,million kilowatt hours
2003,PA,Pennsylvania,ALL,all sectors,140369.128,million kilowatt hours
2003,PACC,Pacific Contiguous,ALL,all sectors,366549.547,million kilowatt hours
2003,PACN,Pacific Noncontiguous,ALL,all sectors,15954.518,million kilowatt hours
2003,RI,Rhode Island,ALL,all sectors,7796.626,million kilowatt hours
2003,SAT,South Atlantic,ALL,all sectors,764055.778,million kilowatt hours
2003,SC,South Carolina,ALL,all sectors,77054.098,million kilowatt hours
2003,SD,South Dakota,ALL,all sectors,9079.99,million kilowatt hours
2003,TN,Tennessee,ALL,all sectors,97455.808,million kilowatt hours
2003,TX,Texas,ALL,all sectors,322685.955,million kilowatt hours
2003,US,U.S. Total,ALL,all sectors,3493734.486,million kilowatt hours
2003,UT,Utah,ALL,all sectors,23860.35,million kilowatt hours
2003,VA,Virginia,ALL,all sectors,101509.731,million kilowatt hours
2003,VT,Vermont,ALL,all sectors,5352.429,million kilowatt hours
2003,WA,Washington,ALL,all sectors,78133.501,million kilowatt hours
2003,WI,Wisconsin,ALL,all sectors,67241.494,million kilowatt hours
2003,WNC,West North Central,ALL,all sectors,260667.565,million kilowatt hours
2003,WSC,West South Central,ALL,all sectors,493991.704,million kilowatt hours
2003,WV,West Virginia,ALL,all sectors,28296.993,million kilowatt hours
2003,WY,Wyoming,ALL,all sectors,13253.836,million kilowatt hours
2004,AK,Alaska,ALL,all sectors,5788.484,million kilowatt hours
2004,AL,Alabama,ALL,all sectors,86870.519,million kilowatt hours
2004,AR,Arkansas,ALL,all sectors,43672.36,million kilowatt hours
2004,AZ,Arizona,ALL,all sectors,66933.251,million kilowatt hours
2004,CA,California,ALL,all sectors,252025.973,million kilowatt hours
2004,CO,Colorado,ALL,all sectors,46723.841,million kilowatt hours
2004,CT,Connecticut,ALL,all sectors,32214.61,million kilowatt hours
2004,DC,District of Columbia,ALL,all sectors,11414.847,million kilowatt hours
2004,DE,Delaware,ALL,all sectors,11761.153,million kilowatt hours
2004,ENC,East North Central,ALL,all sectors,571151.082,million kilowatt hours
2004,ESC,East South Central,ALL,all sectors,319084.878,million kilowatt hours
2004,FL,Florida,ALL,all sectors,218584.494,million kilowatt hours
2004,GA,Georgia,ALL,all sectors,129465.784,million kilowatt hours
2004,HI,Hawaii,ALL,all sectors,10731.52,million kilowatt hours
2004,IA,Iowa,ALL,all sectors,40902.773,million kilowatt hours
2004,ID,Idaho,ALL,all sectors,21808.674,million kilowatt hours
2004,IL,Illinois,ALL,all sectors,139253.956,million kilowatt hours
2004,IN,Indiana,ALL,all sectors,103094.263,million kilowatt hours
2004,KS,Kansas,ALL,all sectors,37126.54,million kilowatt hours
2004,KY,Kentucky,ALL,all sectors,86521.156,million kilowatt hours
2004,LA,Louisiana,ALL,all sectors,79737.112,million kilowatt hours
2004,MA,Massachusetts,ALL,all sectors,56142.019,million kilowatt hours
2004,MAT,Middle Atlantic,ALL,all sectors,366176.369,million kilowatt hours
2004,MD,Maryland,ALL,all sectors,66891.7,million kilowatt hours
2004,ME,Maine,ALL,all sectors,12367.668,million kilowatt hours
2004,MI,Michigan,ALL,all sectors,106606.04,million kilowatt hours
2004,MN,Minnesota,ALL,all sectors,63340.315,million kilowatt hours
2004,MO,Missouri,ALL,all sectors,74054.296,million kilowatt hours
2004,MS,Mississippi,ALL,all sectors,46032.538,million kilowatt hours
2004,MT,Montana,ALL,all sectors,12956.782,million kilowatt hours
2004,MTN,Mountain,ALL,all sectors,237631.806,million kilowatt hours
2004,NC,North Carolina,ALL,all sectors,125656.807,million kilowatt hours
2004,ND,North Dakota,ALL,all sectors,10516.4,million kilowatt hours
2004,NE,Nebraska,ALL,all sectors,25875.93,million kilowatt hours
2004,NEW,New England,ALL,all sectors,125248.953,million kilowatt hours
2004,NH,New Hampshire,ALL,all sectors,10973.309,million kilowatt hours
2004,NJ,New Jersey,ALL,all sectors,77593.167,million kilowatt hours
2004,NM,New Mexico,ALL,all sectors,19845.735,million kilowatt hours
2004,NV,Nevada,ALL,all sectors,31312.306,million kilowatt hours
2004,NY,New York,ALL,all sectors,145081.709,million kilowatt hours
2004,OH,Ohio,ALL,all sectors,154221.114,million kilowatt hours
2004,OK,Oklahoma,ALL,all sectors,50942.042,million kilowatt hours
2004,OR,Oregon,ALL,all sectors,45636.448,million kilowatt hours
2004,PA,Pennsylvania,ALL,all sectors,143501.493,million kilowatt hours
